event_count,code_edit_count,cursor_move_count,editor_focus_count,mean_inter_event_time,std_inter_event_time,mean_edit_length,std_edit_length,large_edit_count
4,1,2,1,0.3046932915846507,0.41786256057992843,189.0,0.0,1
4,2,2,0,0.06812294417371352,0.09556010448656474,190.5,0.5,2
4,2,2,0,0.06812294417371352,0.09556010448656474,190.5,0.5,2
6,3,3,0,0.30816413313150404,0.517600854925761,191.33333333333334,1.247219128924647,3
6,3,3,0,0.30816413313150404,0.517600854925761,191.33333333333334,1.247219128924647,3
8,4,4,0,0.5269175773220403,0.8000179519682039,192.0,1.5811388300841898,4
6,3,3,0,0.609013083204627,0.842624643775919,194.0,0.816496580927726,3
6,3,3,0,0.609013083204627,0.842624643775919,194.0,0.816496580927726,3
6,3,3,0,0.6359545415267348,0.8937059108481766,195.0,0.816496580927726,3
6,3,3,0,0.6359545415267348,0.8937059108481766,195.0,0.816496580927726,3
5,2,3,0,1.113052916713059,1.1126097463083808,195.5,0.5,2
7,3,4,0,0.5912364860996604,0.7707679100403774,202.0,7.118052168020874,3
7,3,4,0,0.5912364860996604,0.7707679100403774,202.0,7.118052168020874,3
5,2,3,0,0.34521595831029117,0.3530339208465724,205.0,7.0,2
5,2,3,0,0.34521595831029117,0.3530339208465724,205.0,7.0,2
4,2,2,0,0.19411486107856035,0.27358928954281103,205.0,7.0,2
4,2,2,0,0.06513654161244631,0.08985379080409893,213.5,0.5,2
6,3,3,0,0.34609584994614123,0.5980323241874029,214.33333333333334,1.247219128924647,3
6,3,3,0,0.34609584994614123,0.5980323241874029,214.33333333333334,1.247219128924647,3
6,3,3,0,0.34609584994614123,0.5980323241874029,214.33333333333334,1.247219128924647,3
6,3,3,0,0.34609584994614123,0.5980323241874029,214.33333333333334,1.247219128924647,3
4,2,2,0,0.22526847198605537,0.31694628346524734,217.5,0.5,2
6,3,3,0,0.2635785581544042,0.32161768318180184,218.0,0.816496580927726,3
7,3,4,0,0.37572417346139747,0.38611070123598695,218.0,0.816496580927726,3
9,4,5,0,0.42083772376645356,0.4415744964989408,218.75,1.479019945774904,4
9,4,5,0,0.538304656278342,0.5927191725722811,225.25,10.304731922762475,4
7,3,4,0,0.610796555566291,0.6428211274792838,227.66666666666666,10.873004286866726,3
5,2,3,0,0.6818242396693677,0.7037875305213307,232.0,11.0,2
10,5,5,0,0.48028309715704787,0.7667754328104845,239.8,9.45304183847718,5
10,5,5,0,0.38601622689101434,0.6671617478313426,245.0,1.4142135623730951,5
10,5,5,0,0.2540194443944428,0.34883452719975133,246.0,1.4142135623730951,5
12,6,6,0,0.2843306250023571,0.3683829509027427,246.5,1.707825127659933,6
12,6,6,0,0.2843306250023571,0.3683829509027427,246.5,1.707825127659933,6
8,4,4,0,0.5207668214238116,0.6690938221269035,248.75,1.479019945774904,4
6,3,3,0,0.5384933667257428,0.7318199411242972,249.33333333333334,1.247219128924647,3
